Identificador,TipoComponente,FechaProduccion,Presion,Temperatura,Desempeno,Peso,Target
4493,Fuselaje,2022-07-24,1.9897,-44.2639,46.5262,548.3111,OK
630,Motor,2021-10-06,,,51.3538,945.2575,Nuevo_4
2268,Avionica,2018-11-29,2.979,53.9904,62.9793,376.2511,Nuevo_1
934,Avionica,2020-02-16,4.7843,127.4491,95.8179,735.9148,KO
6854,Motor,2021-09-09,3.9905,72.448,67.8001,438.9046,OK
3238,Avionica,2018-07-19,4.7587,128.7918,78.8339,464.117,Nuevo_4
176,Motor,2020-12-24,4.8099,79.7715,,974.5019,KO
3737,Motor,2020-09-25,3.4049,110.9778,62.2885,767.0006,OK
3261,Fuselaje,2018-02-26,4.5566,,72.0507,661.5125,OK
6168,Fuselaje,2020-04-27,1.1806,-14.3977,167.283,934.1386,KO
2515,Alas,2021-05-09,4.8169,148.3173,81.571,411.2092,OK
2173,Avionica,2019-01-06,1.5179,83.598,68.3867,943.7822,Nuevo_5
6412,Fuselaje,2021-10-23,4.0273,-31.8239,77.7416,623.2887,OK
4967,Alas,2021-05-28,1.8475,101.8603,39.8763,268.3726,OK
5987,Motor,2021-07-10,2.764,38.9699,45.7199,455.3229,KO
1055,Alas,2020-03-02,2.1142,113.4312,54.9325,205.2432,Nuevo_3
3992,Fuselaje,2019-04-08,1.7265,,56.2323,356.0301,Nuevo_2
1874,Alas,2020-03-06,4.6937,-14.1171,61.4788,702.4807,KO
624,Motor,2018-10-23,1.4828,,53.5302,451.389,KO
4439,,2022-11-24,,,69.9888,631.7523,Nuevo_5
7049,Avionica,2022-02-18,4.1583,101.4177,,196.1353,OK
5965,Avionica,2021-07-05,1.7987,114.5279,,873.2442,OK
5179,Alas,2021-10-09,4.5328,79.8422,54.4551,724.4689,OK
295,Avionica,2018-10-10,4.661,135.1171,85.8584,278.6036,Nuevo_1
4544,Alas,2022-11-21,1.4497,139.6299,47.9587,227.255,Nuevo_1
1236,Fuselaje,2018-04-14,2.9815,107.1172,65.6605,317.3248,KO
2467,Nuevo_3,2018-10-01,2.7633,,66.2784,582.4602,Nuevo_5
6628,Nuevo_4,2020-12-23,4.751,58.6823,76.1929,514.4437,OK
7458,,2018-11-29,2.2128,-16.5929,43.1281,362.2833,KO
5159,Fuselaje,2022-09-30,2.741,110.1887,57.4531,667.5824,KO
5831,Alas,2022-12-29,2.895,-4.1817,53.7023,563.2491,KO
1511,Avionica,2020-07-19,4.8082,,80.7536,897.9296,Nuevo_1
7361,Alas,2020-01-01,,,50.2186,105.5683,KO
1325,Avionica,2018-04-28,4.1178,121.8026,97.55,993.3885,OK
5635,Nuevo_4,2019-08-31,2.7241,-23.0113,56.8818,365.2145,KO
6989,Avionica,2020-07-13,,,,463.4521,OK
5824,Fuselaje,2020-04-27,3.644,49.1934,70.9046,259.8695,Nuevo_2
813,Fuselaje,2021-11-27,,,63.1778,714.9662,Nuevo_1
5916,Nuevo_5,2018-03-04,2.1305,-38.5655,38.7716,902.416,Nuevo_1
4833,Motor,2018-06-14,4.3381,36.2364,72.9424,949.1631,OK
168,Fuselaje,2019-04-08,2.7118,132.2137,53.5162,408.1376,KO
1078,Fuselaje,2022-07-28,,,47.6687,491.0498,KO
6867,Fuselaje,2021-10-30,1.8279,,58.5229,859.0649,OK
534,Fuselaje,2018-07-22,4.1962,356.75015957939365,74.064,876.4182,KO
4219,Fuselaje,2022-12-17,2.2013,136.0405,54.8369,172.1945,OK
4377,Motor,2021-07-22,4.2803,6.4832,167.283,199.4798,OK
7056,Fuselaje,2018-04-24,3.4207,94.7612,54.3007,536.4665,OK
2934,Alas,2022-01-15,1.7487,67.4315,37.3689,999.3821,OK
5198,Motor,2022-04-21,2.2777,108.8752,44.9337,364.6996,KO
6536,Avionica,2022-04-30,3.9211,64.6516,,696.4512,KO
4840,Nuevo_4,2018-08-19,2.6092,-44.2846,53.2095,275.1055,KO
2843,Fuselaje,2018-06-21,2.0342,-1.8066,25.7647,898.9478,OK
4026,Fuselaje,2021-11-30,4.1601,27.3357,71.9949,847.4267,OK
4782,Nuevo_2,2022-06-05,1.0058,-42.9731,32.3014,895.7392,Nuevo_2
2040,Nuevo_5,2022-08-29,1.7837,-34.524,36.0147,295.1275,OK
2582,Avionica,2018-05-24,1.4862,-25.6715,57.5922,262.6258,OK
765,Fuselaje,2022-05-01,2.5469,40.5717,59.2887,957.5827,OK
5414,Nuevo_1,2019-04-18,2.2204,13.9696,46.1463,719.8695,KO
4714,Fuselaje,2020-09-08,4.9929,134.6421,97.0008,818.5184,KO
1142,Nuevo_4,2018-01-15,4.4911,-3.5286,,441.597,KO
5201,Nuevo_2,2019-07-11,3.5623,18.6541,64.0027,541.049,KO
1525,Motor,2022-10-01,1.5503,11.0489,,387.661,KO
3112,Alas,2022-03-02,4.3131,26.3742,72.5636,859.4718,Nuevo_5
1266,Avionica,2018-12-14,3.1333,,70.93,603.4606,Nuevo_2
6383,Motor,2018-12-29,2.4174,,43.5303,637.0775,KO
5250,Avionica,2022-03-03,4.9616,124.4708,,978.5336,OK
1675,Motor,2022-06-30,2.0844,47.5837,65.7788,621.8298,OK
7057,Nuevo_5,2021-02-11,1.5623,126.9526,29.8068,646.7087,Nuevo_5
4076,Motor,2021-04-01,1.5362,,25.4769,721.5124,KO
1616,Fuselaje,2020-06-17,1.5845,-5.5375,34.0183,906.8168,OK
5312,Avionica,2021-12-02,2.1153,15.2342,44.7719,105.9033,OK
7058,Motor,2018-08-02,3.6152,127.5743,64.3965,599.6207,KO
1261,Alas,2020-01-17,1.8149,141.2127,46.1651,999.7639,KO
211,Fuselaje,2022-04-20,1.9099,59.5775,50.5975,820.0978,Nuevo_3
6962,Nuevo_4,2018-08-17,4.7587,-2.5187,78.9477,258.0755,KO
1674,Alas,2022-08-03,4.3582,135.4543,79.0852,114.485,Nuevo_3
787,Motor,2022-06-19,3.0912,81.1713,67.8611,343.9178,KO
2568,Alas,2022-08-01,4.9287,125.4679,76.6467,452.0162,Nuevo_5
4466,Alas,2020-02-08,3.562,80.1603,68.4019,647.4476,Nuevo_3
6856,Nuevo_1,2019-10-07,2.9273,137.1876,59.981,166.1758,KO
6182,Motor,2019-07-26,4.3801,-35.4699,67.4588,536.965,OK
6193,Avionica,2020-12-04,3.4469,-35.79,63.8871,916.3029,KO
2154,Fuselaje,2020-01-22,2.2133,64.1284,70.9197,981.0059,Nuevo_3
185,Nuevo_3,2018-05-12,1.855,85.093,40.8338,456.2802,Nuevo_2
2508,Avionica,2018-12-11,1.6171,-44.8878,48.2542,506.5293,OK
4979,Alas,2018-04-18,2.686,133.1053,78.0798,540.4578,OK
441,,2018-07-28,2.596,142.6428,60.7889,854.2567,KO
7043,Alas,2018-06-08,3.5643,0.7953,74.0769,509.491,OK
651,Alas,2021-11-06,2.5209,133.2687,54.8655,176.0581,OK
2524,Alas,2019-10-11,2.6266,-7.1748,41.7364,485.2664,Nuevo_4
3276,Motor,2020-03-14,1.0998,120.4759,45.843,142.2763,KO
7290,Alas,2019-02-26,4.0572,107.2278,65.0453,123.9489,KO
1309,Nuevo_1,2018-11-16,17.00202232801036,110.3043,61.4417,483.1915,OK
7027,Avionica,2020-04-07,2.6242,78.692,69.3655,998.1578,Nuevo_3
5435,Alas,2019-08-03,3.2308,137.9647,68.2817,426.0239,Nuevo_4
5624,Alas,2022-09-18,1.2043,66.9784,37.413,453.7129,Nuevo_4
1118,Nuevo_5,2021-10-19,4.6976,-37.7219,84.6189,706.0046,OK
760,Motor,2019-02-04,4.4699,111.1609,73.0209,969.3108,Nuevo_2
6465,Avionica,2022-11-09,1.0757,41.4717,41.5046,473.3011,OK
4433,Fuselaje,2021-05-28,2.8072,19.0725,45.3589,123.3133,KO
1263,,2020-04-22,4.5081,,71.6384,507.5713,Nuevo_3
4061,Fuselaje,2019-04-27,1.9777,28.1334,42.6351,573.164,Nuevo_5
5317,Alas,2022-03-25,4.9585,46.7135,78.4085,638.1828,OK
3092,Fuselaje,2019-07-09,4.8805,70.6772,94.4568,179.2338,OK
1865,Avionica,2020-11-12,3.4645,75.7056,59.6986,939.9643,OK
301,Alas,2022-05-03,4.495,83.0268,,811.2359,OK
4726,Avionica,2018-09-08,2.8515,49.3092,46.162,450.5785,KO
7345,Nuevo_2,2018-06-15,3.3227,-46.4237,71.9543,348.4268,OK
6387,,2020-01-14,1.0733,,51.8086,211.6408,Nuevo_3
5426,Alas,2021-10-02,4.7602,145.5096,67.8743,896.5883,KO
3581,Fuselaje,2022-08-29,3.2704,118.409,70.7643,973.1247,OK
4635,Motor,2022-02-05,4.6933,35.538,70.5931,311.049,Nuevo_4
432,Nuevo_1,2021-01-14,1.7052,42.2856,33.5304,245.6499,KO
841,Fuselaje,2022-11-11,3.0443,48.1353,57.5211,556.8581,KO
3601,Nuevo_1,2020-02-15,4.4681,116.0114,56.393,401.8114,Nuevo_1
6776,Nuevo_2,2021-08-04,4.6436,112.3778,99.4251,129.84,OK
4442,Avionica,2019-11-24,4.7541,-6.6847,60.4855,848.3902,OK
6771,Fuselaje,2020-08-11,4.5247,-40.4218,71.5571,727.7955,OK
2470,Motor,2020-06-30,2.5696,44.8468,58.6086,543.2447,OK
154,Motor,2018-05-24,1.0996,43.9367,32.8772,466.2285,KO
3664,Avionica,2022-09-12,1.2398,43.3786,41.0083,797.6557,Nuevo_1
6550,,2019-03-06,4.6049,50.9094,167.283,111.8703,Nuevo_2
1164,Nuevo_3,2020-04-03,2.2189,-44.6535,36.2151,702.8773,KO
7217,Fuselaje,2022-08-24,2.7968,99.349,57.5148,721.6207,KO
2666,Motor,2020-07-02,2.3459,-33.7826,71.7581,603.3758,OK
5637,Nuevo_4,2020-08-27,4.7522,42.4952,70.1874,638.3273,OK
5147,Nuevo_1,2020-07-17,1.1163,-5.3686,48.0789,758.8492,OK
6295,Motor,2020-02-02,4.3909,-8.7784,,788.3214,Nuevo_3
1862,Fuselaje,2018-08-14,1.2986,104.972,23.8231,898.9633,Nuevo_1
2344,Motor,2020-04-06,1.2746,12.9115,26.3855,500.872,Nuevo_4
4213,Alas,2022-04-27,2.7477,-26.1653,69.0596,342.6972,OK
3198,Alas,2020-05-24,1.0759,-39.0977,40.9408,458.0053,OK
4746,Fuselaje,2018-05-12,2.2877,,60.7478,690.9299,KO
5569,Motor,2021-08-09,2.494,,,823.1325,Nuevo_1
5726,Nuevo_5,2019-11-02,4.1116,57.1726,78.0116,346.4974,KO
5228,Fuselaje,2019-01-03,11.29882114936476,-1.7476,37.8742,551.96,KO
4261,Alas,2021-03-20,4.2099,64.4368,,144.4273,Nuevo_2
4741,Avionica,2021-05-17,1.4326,13.0859,29.3177,782.6161,KO
1491,Motor,2022-05-19,3.4238,15.044,74.1875,987.0854,OK
646,Nuevo_3,2021-05-15,2.6527,50.5585,56.4349,167.8417,KO
3484,Fuselaje,2020-06-27,3.6792,139.9186,77.947,520.1608,KO
2174,,2021-03-23,3.4557,115.2901,69.3897,364.2686,KO
7406,Fuselaje,2020-06-02,4.9748158574467,138.2308,40.7287,518.4254,OK
6051,Alas,2019-10-11,3.7081,-24.7788,81.1374,219.1289,Nuevo_5
6282,Fuselaje,2020-10-04,2.5808,,61.158,755.2745,KO
3636,Avionica,2019-12-23,1.8457,64.9981,37.9726,650.2277,Nuevo_5
4185,Avionica,2021-10-30,1.5419,69.9316,42.3687,358.1201,KO
3311,Fuselaje,2020-02-21,4.2141,128.4775,74.2364,794.6606,Nuevo_2
793,Fuselaje,2020-04-18,2.0237,126.7006,41.1631,907.6387,Nuevo_2
399,Avionica,2020-12-19,3.7639,101.0503,72.2191,382.7342,KO
5813,Motor,2019-09-22,2.2437,87.1769,62.4893,710.2405,OK
408,Alas,2019-03-18,4.2225,-36.0841,73.4568,932.8561,Nuevo_2
7480,Motor,2022-03-02,4.1988,57.2438,58.1894,121.3474,OK
1409,Motor,2021-04-15,3.5761,64.3966,49.247,830.968,Nuevo_5
3071,Motor,2022-09-25,4.3685,,82.0107,821.1305,Nuevo_3
1223,Fuselaje,2022-05-15,3.1132,-0.2027,72.1005,980.8793,KO
5669,Alas,2021-06-13,1.9792,62.1892,44.3462,832.7889,OK
8,,2018-06-08,1.4335,67.2118,34.4081,701.3413,KO
440,Alas,2018-12-27,1.5487,-41.7551,,190.334,OK
4135,Avionica,2019-01-06,3.6879,-23.5013,61.683,865.2052,OK
4533,Alas,2019-07-23,2.1052,10.9919,57.1338,720.1806,Nuevo_3
2240,Nuevo_3,2020-03-04,3.6453,-23.8854,78.6167,102.5528,OK
5691,Avionica,2021-05-23,1.4496,-44.9481,47.7559,144.587,Nuevo_4
869,Fuselaje,2019-10-26,4.633,76.1026,96.9096,147.6526,OK
1925,Avionica,2018-12-24,2.6517,-26.0613,31.0521,992.5131,OK
3523,Motor,2019-02-11,4.9784,136.4329,77.6931,666.4509,Nuevo_5
2905,Alas,2022-03-10,2.1909,-37.8219,47.6938,822.0426,KO
1612,Avionica,2020-07-03,4.9527,-21.3071,85.0112,387.4618,Nuevo_3
2504,Alas,2021-03-03,1.7143,43.638,20.5547,210.4364,Nuevo_3
1478,,2020-06-11,,,40.7001,437.8382,KO
6361,Alas,2019-03-17,4.7487,108.6085,78.7199,935.8301,KO
734,Nuevo_5,2018-03-23,1.3189,82.5734,167.283,805.13,OK
857,Nuevo_3,2020-10-02,4.3153,29.9752,76.2229,875.2508,Nuevo_3
43,Fuselaje,2021-05-22,,,69.6045,904.2797,Nuevo_4
1389,Fuselaje,2022-02-19,1.9659,-38.0344,49.6697,194.6484,Nuevo_1
6603,Motor,2019-06-20,1.3937,-11.2528,45.3453,756.4118,OK
4555,Alas,2021-07-24,3.1135,-3.4932,62.7664,232.3829,Nuevo_1
1205,Motor,2021-07-25,3.4203,94.3023,52.6162,329.8409,Nuevo_3
2879,Avionica,2021-08-01,,,95.9434,820.5738,KO
6553,Alas,2021-02-17,1.5629,77.5109,,914.0584,KO
3893,Nuevo_3,2020-07-20,4.5231,-44.4389,67.7805,567.2553,Nuevo_2
7423,Avionica,2021-11-18,4.1972,-46.0491,79.4835,356.4239,Nuevo_1
4449,Fuselaje,2019-11-18,2.1261,53.5241,60.7967,953.0518,Nuevo_3
1224,Fuselaje,2020-09-21,3.9583,124.3693,62.1975,381.9562,Nuevo_1
4215,Alas,2021-09-16,4.2328,4.6595,68.825,468.0436,Nuevo_4
5446,Fuselaje,2018-02-20,4.4527,-35.6544,,535.9028,KO
283,Avionica,2021-07-24,4.8048,0.0381,79.1655,929.6864,OK
3821,Alas,2019-05-20,4.6067,54.874,82.6741,638.5935,KO
1403,Avionica,2018-03-26,2.3143,-12.2715,58.433,216.296,OK
6594,Avionica,2021-07-26,4.4961,126.6836,93.4387,264.9165,KO
2306,Fuselaje,2020-01-28,1.8687,130.162,50.1899,114.8753,Nuevo_1
2779,Alas,2019-12-05,2.3539,-9.1942,71.6516,549.4592,Nuevo_2
5357,Motor,2021-12-01,1.0268,,39.1908,896.4596,KO
2130,Fuselaje,2019-11-23,3.5203,128.8475,66.4477,431.0011,Nuevo_2
1038,Avionica,2021-05-24,2.7715,48.7867,61.2587,691.0333,KO
6194,Nuevo_4,2021-09-15,1.9844,84.1448,58.6536,453.7021,KO
4556,Avionica,2019-06-23,3.4994,-17.3741,70.6168,403.4638,KO
5411,,2021-02-09,3.8339,78.5271,54.7041,129.6643,KO
706,Alas,2022-03-13,2.8761,6.6823,48.4289,896.4042,KO
6235,Motor,2020-01-29,4.7042,,86.2042,848.4587,OK
1399,Motor,2018-01-22,3.2751,146.4973,51.838,509.5695,KO
3760,Motor,2022-01-28,3.0146,-38.6587,63.8802,641.7189,KO
2165,Motor,2022-01-16,2.3632,120.5801,50.5463,959.8938,Nuevo_2
5835,Nuevo_2,2019-09-10,3.6042,38.3644,49.3198,859.0852,KO
2603,Motor,2019-08-16,2.9294,16.8196,68.7263,937.2708,Nuevo_4
1259,Nuevo_3,2022-06-12,,,58.2979,529.8149,OK
810,Nuevo_1,2020-11-05,2.7323,,,762.9851,Nuevo_4
322,Fuselaje,2021-07-21,1.0049,9.5827,32.9655,807.5775,Nuevo_1
6373,Motor,2022-09-20,4.6286,5.1243,96.7038,383.6057,KO
685,Alas,2020-06-03,4.758,58.8782,78.7368,196.7483,OK
7264,Alas,2020-11-13,3.3283,86.6415,67.8314,473.8656,OK
5521,Motor,2020-11-10,1.3315,48.669,50.1415,748.5838,Nuevo_2
356,Fuselaje,2021-11-03,3.5062,69.2732,70.8789,357.0352,Nuevo_2
1963,Fuselaje,2020-06-10,1.2463,44.6936,41.9448,967.2392,Nuevo_1
5077,Fuselaje,2018-06-29,4.1638,-33.7171,87.4086,180.343,Nuevo_4
1321,,2020-09-16,4.1741,122.9776,72.7835,974.0733,OK
4092,Motor,2021-01-30,,,38.7852,517.3973,Nuevo_3
2949,Fuselaje,2021-07-23,3.9483,,58.4479,346.9045,OK
2391,Nuevo_4,2019-03-05,2.6301,70.1275,58.3633,937.2339,OK
7131,Avionica,2018-04-24,2.9821,50.8939,60.6929,438.1738,OK
5493,Motor,2020-10-18,,,32.713,395.5247,KO
6074,Nuevo_5,2022-07-02,2.3025,133.6878,47.3239,896.8032,KO
1611,Fuselaje,2018-01-07,2.9154,45.1781,53.0236,280.6386,OK
4171,Motor,2018-07-04,2.5504,61.2686,57.3139,109.9037,OK
2038,Avionica,2020-04-23,4.2295,-14.9824,59.5651,593.3215,Nuevo_3
1939,Avionica,2021-12-17,4.1737,-41.4367,73.9375,187.7751,KO
3502,Fuselaje,2020-01-19,2.7881,58.5683,48.6041,466.6847,KO
4858,Fuselaje,2021-03-20,4.7124,53.3713,101.2831,734.6026,OK
3108,Motor,2020-11-27,1.3723,85.9476,52.4762,852.2095,KO
6494,Nuevo_1,2020-03-21,1.6877,38.7661,33.5513,443.8441,Nuevo_3
1967,Alas,2022-04-03,3.7302,145.2688,74.0598,188.7257,Nuevo_3
2861,Alas,2020-06-13,2.8655,72.852,55.1398,619.8871,OK
2296,Nuevo_1,2021-04-24,2.1893,130.4867,53.8134,896.6552,KO
1027,Avionica,2022-11-21,4.0024,111.221,52.3138,240.4672,OK
3146,Fuselaje,2019-10-29,3.6671,92.4721,63.0036,892.9195,Nuevo_1
4865,Alas,2019-07-10,3.378,66.0456,70.7579,307.5941,Nuevo_4
3728,Fuselaje,2019-06-28,3.392,91.7887,,684.722,Nuevo_3
5615,Fuselaje,2022-11-02,2.6574,-32.8989,56.1384,306.4647,KO
6967,Fuselaje,2019-05-18,2.4516,81.0792,63.723,856.4504,OK
2170,,2022-04-02,,,42.1522,696.2114,OK
376,Avionica,2021-05-22,3.8029,146.1472,68.6505,789.7821,OK
1841,Alas,2021-08-01,2.4027,144.6351,73.8643,659.7257,Nuevo_3
5804,Fuselaje,2021-06-03,1.9922,32.3523,59.5743,192.1748,Nuevo_5
6951,Nuevo_3,2019-01-07,1.3115,-39.2148,54.1782,161.5317,KO
1718,Alas,2021-10-06,3.969,-48.1353,85.085,357.4417,Nuevo_2
3398,,2019-08-05,4.953,56.5386,77.7589,616.6573,Nuevo_3
1594,Motor,2019-09-12,3.4334,58.4669,59.5544,202.0877,KO
1723,Nuevo_2,2018-05-05,1.7235,,,389.6922,OK
6754,Avionica,2021-01-21,1.944,,51.5517,327.4316,Nuevo_1
1539,Motor,2019-01-01,3.0325,53.2138,,308.246,KO
392,Fuselaje,2018-01-14,1.7013,,61.6776,281.8445,OK
5210,Nuevo_2,2018-04-16,1.4091,48.3912,46.8518,132.6066,KO
6993,Nuevo_3,2018-08-15,2.4642,-27.8432,,774.3882,KO
3744,Motor,2018-11-10,1.543,106.1632,27.3845,922.3535,OK
6848,Alas,2018-10-27,2.9373,106.8713,61.5489,534.6474,OK
7431,Avionica,2021-08-26,2.1295,-21.1997,36.1379,770.509,KO
2663,Fuselaje,2021-02-19,4.6389,-14.2116,82.4536,431.1781,Nuevo_3
782,Alas,2019-06-19,2.8155,137.4145,52.8391,624.2888,OK
641,Fuselaje,2018-01-28,1.8856,11.3089,38.7823,506.5488,Nuevo_4
5585,Nuevo_3,2020-03-17,4.0216,30.2785,81.0881,799.69,Nuevo_3
2754,Avionica,2020-08-12,,,32.3964,161.986,OK
4590,,2022-08-17,3.7123,131.7644,52.4265,763.8473,KO
1667,Fuselaje,2018-02-10,1.7872,27.5127,67.4457,369.6725,Nuevo_5
5545,Fuselaje,2020-10-20,,,72.0364,902.0349,KO
3594,Alas,2022-01-16,4.717,,167.283,862.1064,Nuevo_2
1360,Avionica,2022-06-18,2.6915,53.379,67.8799,775.4421,KO
4673,Fuselaje,2022-12-11,3.8872,0.3433,68.0832,799.2898,Nuevo_5
4437,Fuselaje,2022-08-13,3.5983,10.3269,71.8696,785.9602,KO
3738,Motor,2022-04-18,1.3015,-10.6752,40.5639,714.8978,Nuevo_5
4044,Fuselaje,2022-02-03,2.368,45.5506,52.6258,440.2184,KO
2043,Alas,2020-09-09,2.906,-39.4163,80.651,937.3778,OK
4123,Motor,2020-01-19,1.8297,100.4016,46.102,344.42,KO
4768,Fuselaje,2022-10-09,1.5054,36.2184,43.9408,925.8222,Nuevo_4
3472,Avionica,2018-10-10,2.5545,12.306,35.0644,183.579,Nuevo_1
4165,Fuselaje,2018-11-20,2.0098,48.6565,167.283,804.9887,OK
1312,Motor,2021-06-22,2.9914,34.0596,50.3189,204.4306,OK
2903,Fuselaje,2018-07-18,2.4267,2.3486,43.3479,318.3073,OK
5447,Fuselaje,2020-10-01,4.6775,0.3124,75.2738,824.6814,OK
4441,Nuevo_4,2021-07-29,2.3372,129.7878,48.7605,238.1938,Nuevo_1
4039,Nuevo_2,2020-10-28,4.4052,-35.3702,61.6619,452.8699,OK
3231,Nuevo_3,2019-11-28,2.5578,135.1941,59.0871,948.2112,KO
3535,Alas,2022-04-30,2.1868,83.0294,49.1372,585.2376,OK
625,Avionica,2020-03-28,3.4097,-3.8255,55.7461,273.3426,Nuevo_1
5434,Motor,2021-02-17,4.06,-28.5281,76.3818,904.9809,Nuevo_4
5915,,2021-02-11,3.418,94.7879,74.6377,167.0531,KO
346,Fuselaje,2018-05-29,2.5789,141.4629,52.2886,299.0744,KO
4811,Fuselaje,2022-10-09,1.9721,82.6757,52.684,337.446,OK
4759,Fuselaje,2018-05-24,4.2903,42.6435,68.281,124.5397,Nuevo_1
142,Alas,2019-03-29,1.1409,-29.462,45.2122,616.5099,Nuevo_1
3887,Alas,2022-08-30,,,44.6319,792.2263,KO
5995,Fuselaje,2019-05-22,4.877,59.77,75.0934,523.1517,KO
1281,Fuselaje,2021-07-12,2.6984,98.2544,26.5803,518.8665,OK
683,Avionica,2018-01-06,2.1571,77.3018,52.1839,169.9575,Nuevo_1
3026,Nuevo_2,2019-12-13,2.6185,80.3741,39.4942,688.4658,OK
927,Motor,2018-12-12,4.7938,140.794,88.0598,428.6631,OK
6091,Alas,2022-04-11,3.1309,,65.1541,852.5505,OK
1250,Alas,2021-04-16,3.9296,138.3614,64.5499,608.0534,OK
38,Nuevo_5,2020-10-09,1.3309,11.4548,,192.7489,Nuevo_2
808,Alas,2018-12-07,4.6766,6.5847,86.4289,704.9448,Nuevo_5
2208,Motor,2021-07-27,2.4217,34.3468,45.8134,188.1039,KO
5832,Fuselaje,2021-07-23,1.5997,73.304,40.253,937.8921,Nuevo_2
2546,Fuselaje,2019-07-30,2.8534,-28.1196,41.7186,387.9317,KO
1473,Avionica,2022-08-07,4.852,,72.0484,224.3466,KO
5653,Fuselaje,2021-05-07,3.1734,113.7112,76.1481,215.209,KO
7349,,2018-11-20,2.8762,-16.0296,76.3061,704.2042,KO
1551,Alas,2020-06-13,2.1805,95.4854,40.6386,738.1436,Nuevo_2
1552,Nuevo_5,2022-08-04,1.3793,76.2338,52.4961,261.0425,KO
2232,Motor,2021-10-05,2.0234,131.8229,49.2157,650.375,KO
3075,Alas,2018-10-20,2.1425,38.5705,68.5038,710.8601,Nuevo_3
4631,Motor,2021-07-06,4.4449,,,880.6006,Nuevo_1
3954,Avionica,2018-12-11,1.2076,6.405,44.6647,618.5078,Nuevo_5
1892,Fuselaje,2018-05-19,2.4863,107.7503,60.9282,388.3135,KO
6779,Nuevo_4,2018-10-18,2.7839,-37.7846,46.683,864.1607,OK
784,Avionica,2018-09-02,4.5238,102.4148,96.3349,791.5799,Nuevo_1
1251,Motor,2021-04-12,3.867,45.6178,74.7382,176.666,OK
4629,Motor,2021-02-09,2.3431,97.6958,65.5509,722.4555,OK
3429,Avionica,2022-02-20,3.0562,78.8613,56.1157,589.1464,OK
6498,Fuselaje,2019-11-20,2.3375,76.5353,55.1924,654.6193,OK
4748,Alas,2021-10-04,3.2392,47.5315,61.0518,949.9726,OK
6972,Fuselaje,2019-11-25,3.9108,44.6657,66.9254,650.5701,OK
4838,Fuselaje,2020-12-03,4.0274,7.7692,57.4586,489.3057,KO
925,Alas,2022-04-28,1.3182,79.5409,25.8753,823.9962,Nuevo_4
3123,Avionica,2022-03-21,2.2815,-36.2308,46.4396,905.2817,Nuevo_3
2658,Nuevo_5,2021-10-10,4.5705,40.2357,76.9503,113.7038,Nuevo_3
116,Fuselaje,2019-07-07,3.3104,124.0338,44.3282,988.3435,KO
359,Fuselaje,2019-09-23,,,80.357,301.1509,Nuevo_3
6062,Alas,2022-08-08,4.2367,33.7455,83.7833,650.6418,Nuevo_3
3725,Nuevo_1,2020-06-18,3.0376,-2.376,70.2835,682.6181,Nuevo_2
4125,Fuselaje,2018-05-29,1.0183,41.0928,,568.4012,Nuevo_1
374,Fuselaje,2022-10-06,4.0243,144.4,83.2119,690.8596,OK
7292,Nuevo_5,2019-11-14,,,53.1765,619.7376,Nuevo_3
7278,Avionica,2022-10-21,3.3031,2.6863,69.9543,231.4965,OK
2620,Fuselaje,2020-05-10,4.824,98.8334,75.4069,715.2935,KO
2656,Fuselaje,2021-05-12,4.6616,143.6296,89.3936,475.2627,KO
3021,Motor,2021-09-22,2.1655,99.9256,56.2601,404.314,OK
4098,Motor,2021-06-28,,,51.8671,332.1293,OK
3941,Avionica,2019-01-26,4.3567,72.218,95.8879,122.1514,Nuevo_1
2182,Avionica,2022-05-11,1.0924,,44.7907,714.634,Nuevo_2
3334,Alas,2019-04-03,2.7793,8.6377,43.3278,795.548,Nuevo_5
380,Alas,2021-03-08,1.4227,96.8293,50.7093,474.4569,KO
4756,Avionica,2021-07-07,1.1873,147.7349,13.6785,707.7741,Nuevo_4
217,Motor,2018-11-07,1.5116,-35.6162,49.2062,845.5646,OK
1716,Fuselaje,2020-12-17,3.0886,90.7408,52.2611,187.5797,OK
1,Avionica,2021-11-30,2.7021,-35.2278,47.7973,248.1578,Nuevo_2
4078,Alas,2020-10-20,4.1151,85.5581,69.025,872.4881,OK
3713,Fuselaje,2019-11-11,2.2808,,51.7962,386.1474,OK
1512,Alas,2020-10-09,3.5563,,55.6487,905.2194,OK
6719,,2021-01-03,3.435,,70.8283,714.8088,Nuevo_2
1436,Nuevo_2,2022-10-16,1.4176,-33.5438,46.6377,627.393,OK
1476,Motor,2021-02-20,1.9042,146.9942,39.6999,158.1601,Nuevo_4
5886,Nuevo_3,2018-12-20,1.6041,,47.6981,387.2217,OK
4200,Nuevo_5,2021-10-01,2.0132,116.2623,65.4203,713.2642,KO
7002,Motor,2019-07-16,4.7423,-2.193,63.1727,277.0615,Nuevo_2
750,Motor,2020-04-01,2.7553,116.0565,57.0943,836.6535,Nuevo_3
1942,Alas,2020-06-02,4.462,98.4674,81.9756,826.0988,Nuevo_5
7287,,2021-06-04,,,18.8599,976.9114,OK
5413,Fuselaje,2019-07-29,2.4395,36.0962,50.2995,666.9619,OK
5713,Fuselaje,2022-10-24,1.0135,149.7701,48.209,175.2552,Nuevo_3
6849,Avionica,2019-01-03,1.0206,-26.5794,33.5471,801.9971,OK
