ID_Juguete,Material,Edad_Recomendada,Peso_g,Tiempo_Producción_min,Normativa_Cumplida,Aprobación_Final
1810,Plástico,0-2 años,987.1081219745652,43.0,ISO 8124,Nuevo_4
1811,Tela,Nuevo_4,494.184500319153,105.0,Nuevo_1,Nuevo_5
1812,Tela,,576.7329460104658,66.0,ASTM F963,No
1813,Metal,3-5 años,371.4176295297258,35.0,CE,No
1814,,11+ años,381.8973910600186,37.0,Nuevo_4,Sí
1815,Tela,0-2 años,636.2001173750001,29.0,ISO 8124,No
1816,Metal,0-2 años,662.9544175493501,105.0,ASTM F963,Sí
1817,,Nuevo_2,222.2559666123247,7.0,ISO 8124,Sí
1818,Tela,11+ años,487.3741789388319,38.0,CE,No
1819,Nuevo_2,0-2 años,943.5317828803722,73.0,ISO 8124,No
1820,Nuevo_2,11+ años,505.9892897063788,54.0,ISO 8124,Sí
1821,Tela,0-2 años,576.1726850991188,33.0,ISO 8124,Sí
1822,Tela,0-2 años,932.2606947963412,119.0,Nuevo_3,Sí
1823,,3-5 años,292.045044477455,82.0,CE,Sí
1824,Metal,3-5 años,796.8644905245069,34.0,ISO 8124,No
1825,Tela,Nuevo_3,695.3810292943557,17.0,ASTM F963,Sí
1826,Nuevo_1,Nuevo_2,347.5687223359163,93.0,ASTM F963,Nuevo_4
1827,Plástico,,69.9526364669087,67.0,Nuevo_4,Nuevo_2
1828,,Nuevo_5,902.2252882524456,21.0,ISO 8124,Sí
1829,Nuevo_5,3-5 años,540.6980328725897,72.0,ISO 8124,Nuevo_3
1830,Tela,3-5 años,443.0360609324512,92.0,Nuevo_4,Nuevo_1
1831,Madera,11+ años,981.7254493470292,38.0,CE,Sí
1832,Metal,11+ años,,15.0,Nuevo_5,Nuevo_1
1833,Nuevo_4,11+ años,4017.035052681464,69.0,Nuevo_1,No
1834,Tela,3-5 años,376.1053841157416,9.0,CE,No
1835,Plástico,,681.3020053276337,6.0,ASTM F963,Nuevo_3
1836,Tela,3-5 años,,18.0,ISO 8124,Nuevo_1
1837,Madera,11+ años,881.5356145315827,51.0,ASTM F963,No
1838,Metal,0-2 años,149.372560114647,87.0,ASTM F963,No
1839,Tela,6-10 años,478.4452568708416,74.0,Nuevo_1,Nuevo_3
1840,Madera,0-2 años,510.2390041814195,92.0,ISO 8124,Nuevo_3
1841,Madera,6-10 años,274.4016976051479,30.0,ASTM F963,Sí
1842,Metal,6-10 años,827.6649438663885,23.0,ASTM F963,No
1843,Tela,Nuevo_4,401.2946205293927,108.0,ISO 8124,No
1844,Metal,11+ años,810.1351810762378,50.0,CE,Sí
1845,Metal,11+ años,971.7363041090888,25.0,ISO 8124,No
1846,Tela,Nuevo_3,266.49620022979923,36.0,ISO 8124,Sí
1847,Madera,3-5 años,61.85536851521783,56.0,Nuevo_3,No
1848,Metal,Nuevo_5,894.2137963028383,24.0,ISO 8124,Sí
1849,Plástico,0-2 años,924.4700739824136,57.0,ISO 8124,Nuevo_2
1850,Nuevo_4,6-10 años,723.4827650808991,93.0,Nuevo_2,Sí
1851,Nuevo_2,11+ años,764.2230243422873,60.0,ISO 8124,Sí
1852,Nuevo_5,Nuevo_4,966.469274890066,98.0,Nuevo_3,Nuevo_1
1853,Metal,Nuevo_4,133.29071767104475,30.0,CE,Nuevo_3
1854,Madera,,622.9515945777214,93.0,CE,No
1855,Tela,6-10 años,333.43219132893114,33.0,Nuevo_4,Nuevo_1
1856,Tela,0-2 años,135.81219762375775,63.0,ISO 8124,Nuevo_3
1857,Nuevo_5,6-10 años,831.6007676926889,71.0,ISO 8124,Sí
1858,Plástico,3-5 años,381.54529150901664,88.0,ASTM F963,Sí
1859,Tela,11+ años,418.98428482997326,82.0,Nuevo_5,Nuevo_2
1860,Metal,11+ años,346.889539260949,11.0,CE,Sí
1861,Plástico,Nuevo_3,752.1531982026036,87.0,Nuevo_5,No
1862,Madera,11+ años,,29.0,ASTM F963,Sí
1863,,Nuevo_3,179.94831951212592,80.0,ISO 8124,Sí
1864,Tela,3-5 años,116.83145154641836,31.0,CE,Nuevo_5
1865,Tela,6-10 años,469.3580450499937,96.0,ISO 8124,Nuevo_3
1866,Metal,,,76.0,Nuevo_5,Nuevo_2
1867,Tela,11+ años,490.9801852537884,7.0,Nuevo_5,Sí
1868,Plástico,3-5 años,,92.0,ISO 8124,Nuevo_2
1869,Metal,,280.79645094515536,54.0,CE,Sí
1870,Plástico,0-2 años,710.9903655429581,55.0,CE,Nuevo_3
1871,Plástico,,379.2863449228311,72.0,CE,Nuevo_3
1872,Tela,0-2 años,925.5670317083952,19.0,ASTM F963,No
1873,Nuevo_5,11+ años,,14.0,CE,Nuevo_5
1874,Tela,6-10 años,845.4745342146994,49.0,ASTM F963,Nuevo_5
1875,Metal,11+ años,998.5721255659992,115.0,CE,Sí
1876,Metal,3-5 años,558.5474658724804,46.0,ASTM F963,Nuevo_5
1877,Madera,0-2 años,533.8949664432877,36.0,Nuevo_1,No
1878,Madera,3-5 años,317.8874661962903,57.0,ASTM F963,Sí
1879,Nuevo_4,Nuevo_5,417.5108612330272,119.0,Nuevo_1,No
1880,Metal,6-10 años,977.1665350994508,23.0,CE,No
1881,Metal,3-5 años,794.1939991961045,15.0,ISO 8124,Sí
1882,Metal,0-2 años,219.8122697544684,31.0,CE,Nuevo_3
1883,Madera,0-2 años,364.1008047334192,92.0,CE,Sí
1884,Metal,11+ años,355.36495585499455,105.0,CE,Sí
1885,Madera,3-5 años,,18.0,CE,Sí
1886,Plástico,Nuevo_2,674.3700451211135,45.0,Nuevo_4,Nuevo_4
1887,Plástico,Nuevo_2,464.6360360488883,16.0,ISO 8124,No
1888,,0-2 años,71.65935793698098,57.0,Nuevo_3,No
1889,Metal,Nuevo_1,,119.0,Nuevo_4,Sí
1890,Madera,3-5 años,,112.0,Nuevo_4,Nuevo_2
1891,Madera,6-10 años,,32.0,Nuevo_3,No
1892,Madera,0-2 años,415.5919938512016,58.0,CE,Sí
1893,Tela,0-2 años,344.1514848115351,7.0,ASTM F963,No
1894,,6-10 años,752.1971173479712,9.0,CE,Sí
1895,Nuevo_4,6-10 años,250.68772354101785,29.0,ASTM F963,Nuevo_5
1896,Nuevo_3,3-5 años,699.8146888483908,40.0,ISO 8124,Nuevo_4
1897,Madera,6-10 años,967.2412374008962,56.0,ISO 8124,Nuevo_5
1898,Plástico,3-5 años,379.59499958637286,108.0,ASTM F963,No
1899,Tela,,931.9325112439952,55.0,ASTM F963,Sí
1900,,3-5 años,885.3263487239074,119.0,ASTM F963,Sí
1901,Plástico,11+ años,,50.0,ISO 8124,Nuevo_3
1902,Nuevo_4,6-10 años,,18.0,CE,Nuevo_5
1903,Plástico,11+ años,804.7659568954823,101.0,CE,No
1904,Tela,11+ años,97.09050560852177,60.0,CE,Nuevo_3
1905,Madera,6-10 años,248.552092917128,119.0,CE,Sí
1906,Plástico,3-5 años,409.34249857269975,29.0,ISO 8124,No
1907,Nuevo_3,0-2 años,665.3111917517008,95.0,ASTM F963,Sí
1908,Nuevo_5,,526.338611439523,30.0,Nuevo_1,No
1909,Tela,Nuevo_1,830.0263246922234,83.0,CE,No
1910,Nuevo_5,6-10 años,,65.0,ISO 8124,No
1911,Madera,Nuevo_1,165.84706994378973,56.0,ASTM F963,No
1912,Nuevo_3,6-10 años,260.7734265835395,67.0,Nuevo_5,Sí
1913,Tela,0-2 años,,57.0,Nuevo_5,No
1914,Nuevo_2,6-10 años,471.6233562499492,7.0,Nuevo_3,No
1915,Metal,Nuevo_4,932.0528762829936,64.0,Nuevo_1,Sí
1916,Metal,Nuevo_1,755.3655836134495,84.0,CE,Sí
1917,Plástico,0-2 años,744.9933053424021,119.0,CE,Sí
1918,Metal,3-5 años,152.01660279206524,110.0,Nuevo_2,Sí
1919,Plástico,Nuevo_3,354.2588837664576,73.0,CE,Nuevo_5
1920,Plástico,11+ años,188.6457744835914,38.0,ISO 8124,Nuevo_1
1921,Metal,0-2 años,357.6474616548082,46.0,ASTM F963,No
1922,Nuevo_2,11+ años,530.6494191115687,109.0,Nuevo_4,Nuevo_1
1923,Plástico,Nuevo_5,174.04045304879008,25.0,CE,No
1924,Plástico,6-10 años,70.80031374847432,89.0,CE,Nuevo_4
1925,Madera,0-2 años,922.8712976324484,41.0,CE,No
1926,Madera,6-10 años,526.3058237479058,35.0,Nuevo_1,No
1927,Madera,,321.3720231022195,84.0,Nuevo_4,Sí
1928,Tela,11+ años,481.4367379577468,10.0,ASTM F963,Sí
1929,,0-2 años,904.145615698072,76.0,CE,Sí
1930,Madera,,745.252583326527,13.0,ISO 8124,No
1931,Tela,11+ años,494.7898954016748,80.0,CE,No
1932,Plástico,0-2 años,,32.0,ISO 8124,Nuevo_2
1933,Tela,,757.7196611885427,32.0,CE,Nuevo_3
1934,Nuevo_3,0-2 años,238.8207446657576,34.0,CE,No
1935,Madera,0-2 años,846.9293349507958,66.0,ASTM F963,Nuevo_1
1936,Plástico,3-5 años,559.0238122575347,99.0,Nuevo_3,No
1937,Nuevo_1,Nuevo_5,91.5869949837338,77.0,CE,Sí
1938,Nuevo_3,6-10 años,924.2514461792802,33.0,Nuevo_5,Sí
1939,Tela,3-5 años,490.6690592852662,49.0,ASTM F963,Nuevo_4
1940,Metal,,544.9045376200676,116.0,ISO 8124,Sí
1941,Metal,11+ años,970.4511179046854,106.0,CE,Nuevo_2
1942,Tela,0-2 años,566.0187087566611,38.0,CE,Sí
1943,Madera,3-5 años,110.37407553668,106.0,ASTM F963,Sí
1944,Tela,0-2 años,447.3583916206232,62.0,ASTM F963,Nuevo_1
1945,Madera,Nuevo_5,584.2744568894067,34.0,Nuevo_3,No
1946,Metal,0-2 años,221.62688835431751,26.0,ASTM F963,Sí
1947,Nuevo_2,0-2 años,163.31408884637764,109.0,CE,Sí
1948,Plástico,6-10 años,664.3442373828606,85.0,ISO 8124,Nuevo_4
1949,Madera,11+ años,277.78300911381893,92.0,ASTM F963,No
1950,,11+ años,179.53873099362596,57.0,Nuevo_3,Nuevo_2
1951,Plástico,3-5 años,762.7888477750217,103.0,CE,Sí
1952,Plástico,11+ años,476.9805688540199,87.0,Nuevo_1,No
1953,Plástico,Nuevo_5,371.1402633558776,100.0,ISO 8124,No
1954,Metal,6-10 años,763.7872921127406,84.0,CE,Nuevo_2
1955,Madera,0-2 años,312.0912215449908,109.0,ASTM F963,Sí
1956,Tela,Nuevo_1,152.86788519300018,98.0,Nuevo_1,Nuevo_5
1957,Tela,0-2 años,354.3860002683846,109.0,ISO 8124,Nuevo_1
1958,Plástico,3-5 años,,65.0,ISO 8124,Nuevo_5
1959,Plástico,0-2 años,867.1128092077606,74.0,CE,Nuevo_3
1960,Madera,3-5 años,878.6840627374992,86.0,ISO 8124,Nuevo_1
1961,Madera,0-2 años,,98.0,ISO 8124,No
1962,Nuevo_2,3-5 años,143.34774291616998,32.0,ASTM F963,Nuevo_2
1963,Madera,6-10 años,449.221780745407,116.0,ISO 8124,No
1964,Nuevo_3,6-10 años,109.31239173565086,101.0,ASTM F963,No
1965,Metal,6-10 años,511.82210112694446,115.0,ASTM F963,No
1966,Nuevo_5,Nuevo_3,80.74589469221768,114.0,CE,Sí
1967,Plástico,6-10 años,975.7562468937208,29.0,ISO 8124,Nuevo_1
1968,Madera,11+ años,763.5500750083397,5.0,ASTM F963,Nuevo_1
1969,Nuevo_5,11+ años,965.367735738195,6.0,CE,Nuevo_1
1970,Madera,3-5 años,700.0002711275539,43.0,ASTM F963,Nuevo_3
1971,Plástico,3-5 años,343.98046177160626,84.0,ISO 8124,Nuevo_2
1972,Plástico,Nuevo_2,492.55862966834354,91.0,ISO 8124,Nuevo_5
1973,Metal,6-10 años,503.3238566320881,37.0,ASTM F963,Sí
1974,Tela,Nuevo_4,698.6100076755323,119.0,CE,No
1975,Nuevo_3,,971.2218438220112,109.0,CE,No
1976,Tela,3-5 años,853.936812615359,17.0,CE,Sí
1977,Madera,11+ años,79.86584526806989,105.0,Nuevo_3,Sí
1978,Nuevo_4,3-5 años,140.6570788464109,75.0,CE,No
1979,,11+ años,754.0257668488166,26.0,CE,No
1980,Plástico,11+ años,822.7477495580938,68.0,CE,No
1981,Nuevo_3,11+ años,967.150465037896,97.0,ISO 8124,Sí
1982,Plástico,Nuevo_4,655.2941564975841,69.0,ISO 8124,No
1983,Metal,11+ años,735.2013434013156,72.0,Nuevo_4,No
1984,Nuevo_4,11+ años,,50.0,ASTM F963,Nuevo_1
1985,Nuevo_3,11+ años,,119.0,ASTM F963,Nuevo_2
1986,Plástico,3-5 años,651.3026344170186,114.0,Nuevo_4,Nuevo_2
1987,Tela,11+ años,804.1916325247722,22.0,ISO 8124,Sí
1988,Metal,Nuevo_5,643.9276363216057,99.0,ASTM F963,Nuevo_3
1989,,3-5 años,443.7025844357959,56.0,ASTM F963,No
1990,Tela,3-5 años,789.0950211160301,82.0,Nuevo_4,Sí
1991,Metal,0-2 años,754.1091709400433,60.0,Nuevo_5,Sí
1992,,,992.5513949284208,86.0,ASTM F963,Sí
1993,,0-2 años,843.6017661240634,34.0,ASTM F963,Sí
1994,Madera,0-2 años,402.2276798762403,117.0,ISO 8124,Nuevo_1
1995,Tela,11+ años,999.05652942921,78.0,CE,Sí
1996,Nuevo_4,6-10 años,364.161348339318,109.0,ISO 8124,Nuevo_5
1997,Tela,Nuevo_4,298.4535642440372,79.0,Nuevo_1,No
1998,Metal,6-10 años,,115.0,ASTM F963,Nuevo_2
1999,Plástico,11+ años,915.115150674431,59.0,ISO 8124,Sí
2000,Tela,6-10 años,828.2366046711373,54.0,Nuevo_5,Sí
2001,Tela,0-2 años,931.2964233527553,29.0,Nuevo_1,Sí
2002,Nuevo_1,6-10 años,811.9986911918917,77.0,Nuevo_4,No
2003,Plástico,0-2 años,642.9788442978037,34.0,ISO 8124,Nuevo_1
2004,Metal,3-5 años,56.97782394255942,10.0,ASTM F963,Nuevo_3
2005,Metal,3-5 años,367.454024186858,7.0,Nuevo_3,Sí
2006,Metal,0-2 años,801.9974674466058,65.0,ISO 8124,No
2007,,0-2 años,,9.0,Nuevo_2,No
2008,Plástico,0-2 años,325.6316869283261,19.0,Nuevo_5,Nuevo_5
2009,Tela,3-5 años,808.8173040724079,98.0,CE,Nuevo_3
2010,Metal,3-5 años,499.4931385720117,9.0,ASTM F963,No
2011,Metal,Nuevo_2,418.4901766037098,61.0,ISO 8124,Sí
2012,Madera,,122.87165273967132,97.0,Nuevo_2,No
2013,Nuevo_3,,733.0862946749196,97.0,Nuevo_2,Sí
2014,Nuevo_3,0-2 años,151.63943638859485,34.0,ISO 8124,No
2015,Plástico,,554.7651988487739,64.0,ASTM F963,Sí
2016,Madera,11+ años,521.4719772090331,44.0,CE,Sí
2017,Plástico,0-2 años,375.5061925230723,65.0,Nuevo_1,No
2018,Plástico,,172.1169263505108,77.0,Nuevo_1,Sí
2019,Madera,6-10 años,328.7680496096136,98.0,ISO 8124,Sí
2020,Nuevo_2,,245.83364576085145,111.0,ISO 8124,No
2021,Plástico,3-5 años,688.5595943327708,14.0,ISO 8124,No
2022,Metal,,899.1554812972372,7.0,ASTM F963,Sí
2023,Metal,11+ años,146.12457876037746,38.0,Nuevo_4,No
2024,,6-10 años,598.2214594674708,14.0,ISO 8124,Nuevo_4
2025,Nuevo_3,,323.9566624817492,118.0,Nuevo_1,Sí
2026,Madera,Nuevo_3,576.7605309729768,51.0,CE,Nuevo_3
2027,Madera,6-10 años,276.29975229068515,68.0,ISO 8124,Nuevo_4
2028,Tela,11+ años,439.67723983473024,60.0,ISO 8124,Sí
2029,Tela,Nuevo_5,655.8084368424526,38.0,CE,No
2030,Madera,3-5 años,186.93223919054188,82.0,ISO 8124,Sí
2031,Tela,3-5 años,682.7829935171869,81.0,Nuevo_1,No
2032,Tela,11+ años,542.1130020140064,118.0,ISO 8124,No
2033,Nuevo_5,11+ años,895.7791186068122,30.0,ISO 8124,Nuevo_4
2034,Tela,3-5 años,863.478657664811,31.0,Nuevo_4,Sí
2035,,6-10 años,706.1182403517478,61.0,ASTM F963,No
2036,Plástico,6-10 años,6874.917496494209,20.0,ISO 8124,No
2037,Nuevo_2,,518.0987783070132,70.0,ISO 8124,No
2038,Plástico,6-10 años,997.4891551089978,75.0,Nuevo_4,Sí
2039,,3-5 años,734.0932829075239,114.0,ASTM F963,Sí
2040,Plástico,11+ años,294.9879718331057,13.0,Nuevo_3,Nuevo_3
2041,Nuevo_5,11+ años,696.6088161075393,36.0,CE,Sí
2042,Metal,,426.53950277215006,43.0,ASTM F963,Sí
2043,Plástico,3-5 años,363.72617336404994,19.0,CE,Nuevo_5
2044,Tela,0-2 años,372.1345827734152,61.0,CE,Sí
2045,Tela,3-5 años,248.12342229675392,26.0,ASTM F963,Nuevo_2
2046,Nuevo_5,Nuevo_5,73.18242647393446,91.0,ASTM F963,No
2047,Metal,0-2 años,162.29342280383304,38.0,ISO 8124,Sí
2048,Tela,11+ años,690.2227721589732,94.0,Nuevo_5,Sí
2049,Metal,6-10 años,112.47864078785068,63.0,Nuevo_3,Nuevo_4
2050,Nuevo_4,3-5 años,835.9364515247775,112.0,ASTM F963,Sí
2051,Plástico,3-5 años,560.9453690527305,95.0,ASTM F963,Nuevo_4
2052,Metal,3-5 años,125.2293516240826,107.0,Nuevo_4,Sí
2053,Nuevo_5,0-2 años,696.505168259838,80.0,ISO 8124,No
2054,Plástico,11+ años,534.203528836772,71.0,ASTM F963,Sí
2055,Tela,,418.4050299079319,32.0,Nuevo_3,Sí
2056,Tela,0-2 años,68.30794255267426,13.0,ASTM F963,Sí
2057,Madera,3-5 años,345.3737069332387,114.0,Nuevo_2,Nuevo_5
2058,Plástico,11+ años,428.6170656687342,91.0,CE,Sí
2059,Plástico,Nuevo_2,109.59397697494104,57.0,Nuevo_3,Sí
2060,Nuevo_3,6-10 años,573.8384751594338,21.0,ISO 8124,Nuevo_1
2061,Madera,11+ años,834.065016058084,77.0,ISO 8124,Sí
2062,Metal,0-2 años,378.58079632356726,107.0,CE,Nuevo_3
2063,Tela,6-10 años,891.7533986871109,66.0,Nuevo_5,Nuevo_5
2064,Madera,11+ años,815.0450699010736,44.0,CE,Sí
2065,Madera,6-10 años,233.64012017265424,92.0,CE,Sí
2066,Nuevo_1,3-5 años,190.4234995859439,60.0,CE,Sí
2067,Tela,6-10 años,,26.0,ASTM F963,Nuevo_5
2068,Metal,11+ años,713.5657769518577,32.0,ASTM F963,Sí
2069,Madera,Nuevo_2,968.4471272497904,57.0,CE,Nuevo_3
2070,Metal,11+ años,695.9133960742337,9.0,ISO 8124,Nuevo_2
2071,,0-2 años,737.378159000931,84.0,Nuevo_2,Nuevo_3
2072,Plástico,Nuevo_5,169.70494087532632,34.0,ASTM F963,No
2073,Plástico,,425.3052157615792,31.0,ISO 8124,No
2074,Madera,0-2 años,,114.0,ASTM F963,Sí
2075,Metal,0-2 años,91.03772911806678,20.0,Nuevo_5,No
2076,,0-2 años,254.24615838641725,60.0,ASTM F963,No
2077,Nuevo_2,11+ años,891.8543320983066,119.0,ISO 8124,No
2078,Plástico,Nuevo_5,506.15865608485166,111.0,CE,No
2079,Metal,0-2 años,,52.0,ISO 8124,No
2080,,6-10 años,238.24298608525288,108.0,CE,Sí
2081,Metal,Nuevo_3,95.0050346201873,98.0,ASTM F963,No
2082,Plástico,0-2 años,599.1387396580967,108.0,ASTM F963,Nuevo_3
2083,Tela,0-2 años,999.2068144523042,91.0,CE,Nuevo_3
2084,Madera,11+ años,899.3200227587743,115.0,ASTM F963,Nuevo_4
2085,Tela,0-2 años,61.18596677368272,70.0,Nuevo_3,Nuevo_5
2086,Madera,Nuevo_1,304.4342524098348,5.0,CE,No
2087,Plástico,6-10 años,793.1221565179111,71.0,ISO 8124,No
2088,Madera,11+ años,524.8373364792485,18.0,ISO 8124,No
2089,Metal,11+ años,847.3996971730563,61.0,ASTM F963,Sí
2090,Madera,Nuevo_1,813.6478957755004,25.0,ASTM F963,Sí
2091,,3-5 años,185.3328273346341,56.0,Nuevo_2,Nuevo_4
2092,,3-5 años,305.6054085739255,54.0,ASTM F963,No
2093,Metal,Nuevo_5,538.3885794740136,71.0,ISO 8124,Nuevo_3
2094,Nuevo_3,3-5 años,864.9863997261555,70.0,ASTM F963,Sí
2095,Madera,3-5 años,127.69168225597552,8.0,ISO 8124,Sí
2096,Metal,3-5 años,806.7139373391756,36.0,CE,Nuevo_3
2097,Metal,3-5 años,608.454842895247,74.0,Nuevo_5,No
2098,Nuevo_1,11+ años,968.5699647748696,67.0,ASTM F963,Sí
2099,Tela,6-10 años,751.4461328017887,66.0,ISO 8124,Nuevo_3
2100,Madera,0-2 años,683.5689613387108,101.0,CE,Sí
2101,Madera,0-2 años,51.32126217913337,102.0,Nuevo_5,No
2102,Tela,Nuevo_5,356.1716099337016,9.0,CE,Nuevo_4
2103,Tela,0-2 años,,75.0,Nuevo_3,No
2104,Madera,3-5 años,976.759375863415,91.0,ASTM F963,Sí
2105,Tela,6-10 años,515.2558602420243,17.0,Nuevo_3,Nuevo_4
2106,Nuevo_2,6-10 años,383.2385801522365,408.4148604006077,CE,No
2107,Metal,0-2 años,404.0152887240573,53.0,ISO 8124,Nuevo_1
2108,Madera,3-5 años,233.60945959200004,38.0,CE,Sí
2109,Madera,Nuevo_2,,50.0,ISO 8124,No
2110,Metal,6-10 años,,17.0,ASTM F963,Sí
2111,Madera,6-10 años,254.51896474114116,11.0,ASTM F963,No
2112,Plástico,Nuevo_3,631.0620904647154,48.0,ISO 8124,No
2113,Madera,Nuevo_4,293.48465703410795,39.0,CE,Nuevo_1
2114,Plástico,0-2 años,2928.284732804367,48.0,CE,Nuevo_4
2115,Nuevo_2,3-5 años,799.5308259198795,44.0,Nuevo_4,Sí
2116,Nuevo_4,6-10 años,426.3365584114803,116.0,Nuevo_2,Sí
2117,Metal,6-10 años,355.1394111957722,78.0,Nuevo_4,Sí
2118,Madera,0-2 años,205.55587487397625,114.0,CE,Sí
2119,Madera,6-10 años,78.85767892949997,70.0,ISO 8124,Nuevo_4
2120,Plástico,11+ años,696.3466740664227,111.0,Nuevo_3,Nuevo_1
2121,Plástico,3-5 años,542.433394801099,92.0,CE,Nuevo_3
2122,Nuevo_4,0-2 años,427.79265212504765,33.0,Nuevo_3,Nuevo_4
2123,Metal,3-5 años,409.0543388304478,23.0,Nuevo_2,No
2124,,Nuevo_1,975.3452055857676,59.0,ISO 8124,Nuevo_5
2125,Nuevo_5,0-2 años,519.0959261358381,27.0,CE,No
2126,Madera,,8253.899721342405,99.0,CE,Nuevo_2
2127,Madera,0-2 años,549.5392088361339,48.0,ISO 8124,Nuevo_5
2128,,0-2 años,414.0451240123781,15.0,CE,Sí
2129,Plástico,6-10 años,534.0891066980753,105.0,CE,Sí
2130,Nuevo_2,6-10 años,990.2684965546446,68.0,ASTM F963,Sí
2131,Metal,11+ años,955.8408683835275,104.0,CE,Sí
2132,Madera,3-5 años,115.46167588580474,16.0,ISO 8124,Nuevo_5
2133,Plástico,,103.05197270056313,101.0,ASTM F963,Sí
2134,Nuevo_5,0-2 años,712.9178288203854,72.0,Nuevo_1,Nuevo_5
2135,Nuevo_3,3-5 años,173.2844384533578,51.0,ASTM F963,Nuevo_4
2136,Nuevo_4,Nuevo_2,86.77796753466757,308.6856503027849,ASTM F963,Nuevo_1
2137,Madera,0-2 años,387.61571110844193,76.0,Nuevo_4,Sí
2138,,,,111.0,ISO 8124,Nuevo_3
2139,Metal,11+ años,9425.143672989023,96.0,Nuevo_2,Sí
2140,Plástico,6-10 años,261.44203697982823,117.0,ASTM F963,Nuevo_3
2141,Plástico,6-10 años,905.673036790628,8.0,ISO 8124,No
2142,Tela,0-2 años,791.596198157241,103.0,ISO 8124,Sí
2143,Nuevo_1,6-10 años,426.7182375959176,31.0,ASTM F963,Sí
2144,Madera,6-10 años,222.6383019755628,53.0,ISO 8124,Sí
2145,Tela,0-2 años,868.8716752291662,19.0,Nuevo_4,No
2146,Plástico,0-2 años,866.9402750768611,23.0,CE,No
2147,Tela,0-2 años,101.8015716087814,82.0,CE,Nuevo_2
2148,Tela,Nuevo_2,595.1411214858999,82.0,ASTM F963,Sí
2149,Madera,Nuevo_4,693.7672243857617,61.0,Nuevo_5,Sí
2150,Metal,6-10 años,683.2110839648368,109.0,CE,No
2151,,0-2 años,157.82125656407968,27.0,ISO 8124,No
2152,Metal,6-10 años,377.67222120456233,113.0,ISO 8124,No
2153,Plástico,3-5 años,235.4692781183323,107.0,ASTM F963,Nuevo_3
2154,Metal,Nuevo_5,7068.9576661155415,18.0,Nuevo_3,Nuevo_1
2155,,11+ años,62.752677294004506,98.0,ASTM F963,Nuevo_1
2156,Tela,11+ años,908.8781291391508,81.0,ISO 8124,No
2157,,6-10 años,864.3151532547523,70.0,ASTM F963,No
2158,Madera,11+ años,290.90346219372,66.0,Nuevo_5,Sí
2159,Plástico,Nuevo_4,160.6098402224053,87.0,CE,Nuevo_1
2160,Tela,11+ años,,73.0,ASTM F963,Nuevo_3
2161,Madera,6-10 años,69.4935236272998,87.0,ISO 8124,No
2162,Tela,3-5 años,138.23993949419418,61.0,ISO 8124,Nuevo_3
2163,Nuevo_5,Nuevo_3,523.2133488537199,22.0,ASTM F963,No
2164,Nuevo_2,Nuevo_5,948.1296486685588,28.0,Nuevo_2,Sí
2165,Tela,Nuevo_5,517.1819473361204,65.0,Nuevo_4,No
2166,Nuevo_1,Nuevo_5,512.2144088517546,62.0,Nuevo_2,Sí
2167,,0-2 años,134.85060821778706,19.0,ISO 8124,No
2168,Tela,Nuevo_2,365.8913402677771,63.0,ASTM F963,No
2169,Madera,11+ años,878.998357626562,70.0,Nuevo_5,Nuevo_5
2170,Plástico,3-5 años,534.7521741622356,47.0,ASTM F963,Sí
2171,Madera,11+ años,918.9224617303652,105.0,ASTM F963,No
2172,Nuevo_4,6-10 años,848.4486776951486,19.0,ASTM F963,Nuevo_2
2173,Madera,6-10 años,597.9252669646413,5.0,ISO 8124,Nuevo_2
2174,Plástico,6-10 años,568.3547786109469,21.0,ISO 8124,No
2175,Madera,6-10 años,178.16270940185973,46.0,ASTM F963,Sí
2176,Metal,6-10 años,837.7583483673772,114.0,Nuevo_1,No
2177,Plástico,6-10 años,,34.0,ISO 8124,Sí
2178,,0-2 años,251.6359291451541,82.0,ISO 8124,No
2179,Plástico,0-2 años,123.48273626268708,71.0,Nuevo_2,Nuevo_1
2180,Tela,Nuevo_1,955.5552377405588,103.0,CE,Sí
2181,Metal,3-5 años,591.3818955921787,8.0,ASTM F963,Sí
2182,,11+ años,274.871879728551,13.0,ISO 8124,Nuevo_5
2183,,6-10 años,78.39667970708776,86.0,CE,Sí
2184,Madera,0-2 años,976.7117180008526,77.0,ISO 8124,Sí
2185,Plástico,11+ años,625.0360244016974,90.0,Nuevo_5,Nuevo_5
2186,Metal,6-10 años,292.0530285323333,102.0,Nuevo_5,Sí
2187,Metal,0-2 años,545.033138441594,23.0,Nuevo_3,No
2188,Tela,3-5 años,675.7124945356861,36.0,CE,Nuevo_3
2189,Plástico,Nuevo_3,828.6796969803823,51.0,ASTM F963,No
2190,Metal,6-10 años,831.0327668173679,10.0,CE,Sí
2191,Nuevo_5,Nuevo_2,885.4173197258147,47.0,Nuevo_4,Sí
2192,Metal,Nuevo_5,351.19773754957777,64.0,ASTM F963,Sí
2193,Madera,3-5 años,740.0004097739622,10.0,ISO 8124,Sí
2194,Plástico,3-5 años,564.996157558194,72.0,CE,Nuevo_5
2195,Nuevo_5,3-5 años,392.6150353322075,87.0,Nuevo_3,Sí
2196,Tela,6-10 años,329.6652884360151,93.0,ASTM F963,Sí
2197,,6-10 años,352.1026853122311,63.0,CE,No
2198,Tela,3-5 años,618.4668207598488,88.0,Nuevo_4,No
